"Hillnumber","Hillname","_Section","ParentMa","ParentSMC","Metres","Feet","Gridref","Gridref10","Colgridref","Colheight","Drop","Feature","Observations","Survey","Revision","Comments","Map","Map25","Xcoord","Ycoord","Latitude","Longitude","GridrefXY","Country","Tumponly","MVNumber","classification"
1963,"Snowdon - Yr Wyddfa",30.2,NULL,NULL,1085,3560,"SH609543","SH 60989 54379","NS758782",46,1039,"trig point/view indicator",NULL,NULL,"2017-03-07 00:00:00",NULL,"115","OL17W",260986,354376,53.068496,-4.076231,"SH6098654376","W",0,NULL,"{Ma,F,Sim,Hew,N,CoH,CoU,CoA}"
1964,"Crib y Ddysgl",30.2,1963,NULL,1065.3,3495,"SH610551","SH 61082 55158","SH607549",993,72,"rock 6m SW of trig point",NULL,"Leica NA730/Leica GS15","2017-12-20 00:00:00",NULL,"115","OL17W",261079,355155,53.075519,-4.07518,"SH6107955155","W",0,NULL,"{F,Sim,Hew,N}"
2018,"Moel yr Ogof",30.2,1992,NULL,655,2149,"SH556478","SH 55625 47864","SH559475",537,118,"small cairn",NULL,NULL,"2009-11-20 00:00:00",NULL,"115","OL17W 254",255622,347861,53.008549,-4.15331,"SH5562247861","W",0,NULL,"{Hu,Sim,Hew,N}"
1965,"Carnedd Llewelyn",30.2,NULL,NULL,1064,3491,"SH683643","SH 68364 64375","SH675604",314,750,"cairn","shelter 25m SW of cairn (SH 68376 64350) is 0.5m lower; ground at SH 68293 64476 and tors at SH 68233 64495 and SH 68194 64466 are all several metres lower","Abney level","2008-06-30 00:00:00",NULL,"115","OL17E OL17W",268361,364372,53.160168,-3.970333,"SH6836164372","W",0,NULL,"{Ma,F,Sim,Hew,N,CoU}"
1966,"Carnedd Dafydd",30.2,1965,NULL,1044,3425,"SH662630","SH 66286 63049","SH680636",933,111,"cairn","rocks 30m SE at SH 66314 63034 are 30cm lower; cairn 65m ESE at SH 66352 63041 is 1m lower; note summit cairn may be on man-made structure","Abney level","2009-11-20 00:00:00",NULL,"115","OL17W",266283,363046,53.147738,-4.000839,"SH6628363046","W",0,NULL,"{Hu,F,Sim,Hew,N}"
1967,"Glyder Fawr",30.2,NULL,NULL,1000.9,3284,"SH642579","SH 64246 57956","SH647556",359,642,"rock tor","rock outcrop 40m SSW at SH 64230 57923 is 1.45m lower; all other rock features lower still","Abney level/Leica 530","2016-11-15 00:00:00",NULL,"115","OL17W",264243,357953,53.10147,-4.029164,"SH6424357953","W",0,NULL,"{Ma,F,Sim,Hew,N}"
1968,"Glyder Fach",30.2,1967,NULL,994.3,3262,"SH656582","SH 65646 58289","SH 6527 5815",919.8,74.5,"large rock on huge pile of rocks",NULL,"obvious summit/Trimble GeoXH 6000","2014-10-19 00:00:00",NULL,"115","OL17W",265643,358286,53.104815,-4.008407,"SH6564358286","W",0,NULL,"{F,Sim,Hew,N}"
1969,"Pen yr Ole Wen",30.2,1965,NULL,978,3209,"SH655619","SH 65598 61947","SH654622",933,45,"ground 5m N of cairn",NULL,"Abney level","2020-01-05 00:00:00","Added to Trail 100 list Jan 2020","115","OL17W",265595,361944,53.137665,-4.010657,"SH6559561944","W",0,NULL,"{F,Sim,Hew,N}"
1970,"Foel Grach",30.2,1965,NULL,975.4,3200,"SH688659","SH 68881 65909","SH 6889 6532",933.8,41.7,"cairn","rock outcrop 25m SSE at SH 68891 65885 is about 50cm lower","Abney level/Leica RX1250","2017-12-13 00:00:00",NULL,"115","OL17E OL17W",268878,365906,53.174077,-3.963234,"SH6887865906","W",0,NULL,"{F,Sim,Hew,N}"
1971,"Yr Elen",30.2,1965,NULL,962,3156,"SH673651","SH 67389 65118","SH676647",905,57,"rock outcrop","rock outcrop with cairn 50m SSW at SH 67371 65073 is about 50cm lower; cairn 75m WNW at SH 67318 65142 is about 3m lower","Abney level","2008-06-30 00:00:00",NULL,"115","OL17W",267386,365115,53.166601,-3.985215,"SH6738665115","W",0,NULL,"{F,Sim,Hew,N}"
